Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,No_Parking_spots,Total_house_Area,House_Age,No_Years_Last_Upgrade
1,60,2,65.0,8450,1,2,3,3,0,4,0,3,2,0,0,3,7,5,0,0,7,9,1,196.0,2,2,2,2,2,3,2,706,0,0,150,856,0,0,1,3,0,1710,1,0,2,1,3,1,2,8,4,0,5,0,2003.0,1,2,3,2,0,61,0,0,0,0,0,4,1,0,2,8,3,208500,274.0,1710,5,5
3,60,2,68.0,11250,1,2,0,3,0,4,0,3,2,0,0,3,7,5,0,0,7,9,1,162.0,2,2,2,2,2,2,2,486,0,0,434,920,0,0,1,3,0,1786,1,0,2,1,3,1,2,6,4,1,4,0,2001.0,1,2,3,2,0,42,0,0,0,0,0,4,1,0,9,8,3,223500,304.0,1786,7,6
5,60,2,84.0,14260,1,2,0,3,0,2,0,13,2,0,0,3,8,5,0,0,7,9,1,350.0,2,2,2,2,2,0,2,655,0,0,490,1145,0,0,1,3,0,2198,1,0,2,1,4,1,2,9,4,1,4,0,2000.0,1,2,3,2,192,84,0,0,0,0,0,4,1,0,12,8,3,250000,278.0,2198,8,8
7,20,2,75.0,10084,1,2,3,3,0,4,0,19,2,0,0,2,8,5,0,0,7,9,3,186.0,2,2,2,0,2,0,2,1369,0,0,317,1686,0,0,1,3,0,1694,1,0,2,0,3,1,2,7,4,1,2,0,2004.0,1,2,3,2,255,57,0,0,0,0,0,4,1,0,8,8,3,307000,318.0,1694,3,2
11,20,2,70.0,11200,1,2,3,3,0,4,0,17,2,0,0,2,5,5,2,0,3,3,2,0.0,3,2,1,3,2,3,4,906,0,0,134,1040,0,0,1,3,0,1040,1,0,1,0,3,1,3,5,4,0,5,3,1965.0,2,2,3,2,0,0,0,0,0,0,0,4,1,0,2,8,3,129500,384.0,1040,43,43
14,20,2,91.0,10652,1,2,0,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,3,306.0,2,2,2,2,2,0,5,0,0,0,1494,1494,0,0,1,3,0,1494,0,0,2,0,3,1,2,7,4,1,2,0,2006.0,1,2,3,2,160,33,0,0,0,0,0,4,1,0,8,6,4,279500,280.0,1494,1,0
19,20,2,66.0,13695,1,2,3,3,0,4,0,18,4,0,0,2,5,5,0,0,7,9,2,0.0,3,2,2,3,2,3,2,646,0,0,468,1114,0,0,1,3,0,1114,1,0,1,1,3,1,2,6,4,0,5,3,2004.0,2,2,3,2,0,102,0,0,0,0,0,4,1,0,6,8,3,159000,288.0,1114,4,4
20,20,2,70.0,7560,1,2,3,3,0,4,0,10,2,0,0,2,5,6,2,0,1,6,2,0.0,3,2,1,3,2,3,3,504,0,0,525,1029,0,3,1,3,0,1339,0,0,1,0,3,1,3,6,2,0,5,0,1958.0,2,2,3,2,0,0,0,0,0,0,0,2,1,0,5,0,0,139000,294.0,1339,51,44
21,60,2,101.0,14215,1,2,0,3,0,0,0,14,2,0,0,3,8,5,0,0,7,9,1,380.0,2,2,2,0,2,0,5,0,0,0,1158,1158,0,0,1,3,0,2376,0,0,3,1,4,1,2,9,4,1,2,2,2005.0,1,2,3,2,240,154,0,0,0,0,0,4,1,0,11,6,4,325300,284.0,2376,1,0
24,120,3,44.0,4224,1,2,3,3,0,4,0,8,2,0,3,2,5,7,0,0,2,2,2,0.0,3,2,2,2,2,3,2,840,0,0,200,1040,0,3,1,3,0,1060,1,0,1,0,3,1,3,6,4,1,4,0,1976.0,2,2,3,2,100,110,0,0,0,0,0,4,1,0,6,8,3,129900,286.0,1060,31,31
